吖 叮吐叶
庚 庾
工 二三土王
攻 玫玟
宫 官户宁冖三它宜
廾 并盯旰丌几井开冫亓升忄帅吐
巩 酊珥钒叽玑仉
供 世
钩 钧
篝 箐
苟 荀
岣 枸峋
枸 岣拘
估 仙
轱 枯
蛄 岵帖
古 日厶占
汩 凹泊旧汨汕汜
诂 怙祜话枯
牯 怙枯
固 国间囝眉同围囿园
梏 锆牿秸桔栝
牿 锆梏栝
雇 眉
瓜 爪
诖 洼
挂 桂佳挟洼拙
官 奋宫户苴宁冖日容三它言宜占
倌 佃涫们怕俏仨宿
棺 绾
馆 唁
涫 倌浦
广 疒产厂疔二匚沣讧户京疴崆圹疠疗茫冖仁氵声它亠辶
犷 旷
桄 恍枕
归 凵囗
鲑 鲆畦
匦 叵
柜 拒炬钜栝枰桤杞相祖
桂 挂徒
蝈 帼
国 固眉围园
帼 蝈
猓 稞
椁 楦植
哈 晗咭咀哙喏眙喑咱
蛤 蛆
蚶 川岵甜州
酣 酯
邗 祁
邯 邵
含 合
晗 哈咀眙咱
罕 全
汗 沣讣仟让任汪许汁洙住注
捍 捏
蒿 篙
好 奸妊旺
浩 诰活
皓 锆
诃 何河讵讪
呵 阿咀眄呻
喝 喟
合 含
何 诃河们仙
和 帕
河 诃何汜
很 恨
恨 很裉垠
亨 宣
哼 吨唛暄
恒 怛亘桓框悝忙忸悄垣怔
桁 析
闳 闶门闽闩
虹 蚌虾
讧 疒甸沣讣广讳计江连冖评仟让洼仵忤详许旬诈辶
喉 堠
厚 匚巨叵巳厅匣原
堠 喉
乎 干一子
囫 园
虍 卢
户 宫官广宁庄
护 扩琅稂炉
沪 泊浪
岵 蛄蚶蛞帖
怙 诂牯祜枯
祜 诂怙桕枯
砉 营
华 毕
哗 哔晔
化 仆
画 阃闹闸
话 诂
怀 杯忭忡坏计抨坯评让社什忤性怔住
坏 怀环
环 坏让
桓 恒桷框垣枳
宦 宜
肓 盲言宥育
慌 谎
徨 惶
惶 徨
潢 演
恍 忱桄
谎 慌
回 凵囚四囗
茴 南苘向囟茁
汇 卜厂丶匚沮讵冫氵汜卫亠污辶
讳 谛讧计沛什悌洼玮
阍 阊阑
浑 诨
诨 浑
耠 耜
活 浩恬
灬 厂丶匚氵亠玉辶
嚯 唯
丌 产旰廾亢冖弃升守
讥 玑仉
击 丨
叽 巩旷呀
玑 珥钒巩讥机仉
机 打钒玑仉
乩 儿乱
肌 肮胼
咭 哈喏
积 稂枳租
笄 弃
犄 崎椅
吉 苷苦
极 板
佶 诘洁
楫 揖
几 廾
己 巳亠
虮 蚪帆蚯蚜
彐 凹白泊二臼怕珀仨三田右曰
计 伴忡讣讧怀讳抨评钋丘诎诠让什仕洼详迂汁辶
纪 圮
技 枝
哜 喃脐
洎 诘洁洽
偈 谒
佳 挂什仕洼仵
挟 挂
袷 恰拾
蛱 蚌蛙
甲 屮尘卩巾
胛 胆呷咀胪胂腴肿阻
钾 押铀
奸 犴好妊
歼 旰开扦
坚 匚
间 固闶门闰闩同闫闸
鞯 鞘
囝 固届囿园
捡 拾拴
裥 锏
锏 裥锎
江 二沣讧皿仁洼
茳 莎艺
豇 叮盯旺盱
缰 礓
礓 缰
僬 憔
纟 辶
挢 桥
脚 肿
叫 叨叩埘
疖 疔痄
皆 昔
秸 梏拮
喈 暗喑
孑 主子
节 艺
讦 订珏辶
劫 却
诘 佶洎洁诺
拮 秸
洁 佶洎诘沛洽
结 绉
姐 殂妲胆呷咀咱阻组祖
芥 芩
届 囝
巾 币屮虫卩甲山由中
钅 饣忄
仅 仪
进 迸
劲 助
京 广
惊 谅悚
腈 睛晴
睛 腈喟晴
精 糈
井 廾
陉 匚弪胫巨叵阻
弪 陉
胫 陉
婧 靖
靖 婧
扃 扁
究 冖
阄 阃阑阆闾阋阅
九 丸
玖 玫
韭 非
旧 凹汩门汨凵汕巳四汜囗
臼 凹白彐凵三田囗
桕 伯祜枯忸仨扫曰
拘 枸
苴 车旮官苛宜
狙 咀租阻
疽 疸疴
琚 裾
椐 裾
裾 琚椐
桔 梏
咀 殂妲胆咄呷咯哈晗呵胛姐狙岿眄喏唏咽眙咱阻组祖
沮 汇诅
矩 炬钜
巨 萆厂臣丶盯厄匚厚陉匹叵泣氵巳厅旺亠匣盱匝竺阝
讵 诃汇讪卫
拒 怛担柜炬钜扔相
具 昌冥
炬 灿柜矩拒钜玉
钜 钝柜矩拒炬钶钼钷钽
倨 据
据 倨
涓 泪渑
孓 玉
抉 块袂抨怏
珏 讦
掘 倔
桷 桓
倔 掘堀
均 钧
钧 钩均
菌 茵
咔 喹眭啼哇
卡 苄
开 犴并旰廾歼菩阡扦升枉旺吁轩一
揩 楷
锎 锏
铠 皑
楷 揩锴
锴 楷铝
刊 利
侃 促侣
槛 褴
闶 而冈闳间门闷闽闹闰闪闩同闲闫阈闸
康 唐
扛 杠
亢 丌弃
伉 抗坑仉
抗 伉坑
炕 坑
犒 镐稿
苛 苴宜
珂 柯钶
柯 珂钶
钶 钜珂柯
疴 疙广疽疠
蚵 川蚂
棵 稞
稞 猓棵
磕 瞌
瞌 磕
可 厂打母且亠竹
渴 谒
恪 袼格铬烙珞
啃 唷
裉 根哏恨垠
坑 伉抗炕圻
空 冖卒
崆 广
孔 礼扎
抠 枢
眍 呕
口 白二冖凵巳冂囗向
叩 叨叫
扣 柏拍
枯 柏轱诂牯怙祜桕帖
堀 倔
苦 芳苷吉若苫
块 抉
哙 哈
匡 匪亘哐眶哞牟同
哐 匡眶哞唯睚
狂 住
夼 奋
邝 邙厅吓
圹 广扩圯
旷 犷叽眭唯脏
框 恒桓
眶 匡哐哞眸睢睚
岿 咀岩
悝 恒理埋
喹 暗嗤咔眭哇喑
傀 愧
喟 喝睛
溃 湍
愧 傀
坤 神
琨 锟
锟 琨
捆 抽悃抑
阃 画阄阑阆闾闪阎闸
悃 捆
困 团
扩 护圹掠
括 抨恬
栝 梏牿柜恬
蛞 岵
阔 闾
拉 拄
剌 刺剃
腊 暗喑
来 耒
涞 诔洙
睐 诔
栏 枰亡
阑 阍阄阃阕阋
褴 槛
揽 榄
榄 揽
狼 稂
阆 阄阃
琅 护稂珀
稂 护积狼琅粮
浪 泊沪
牢 年冖屯宙
烙 咯格铬恪珞
仂 伪
了 刂亍丶丁匚丿生丨亠丫于予子
耒 来
诔 涞睐侏诛洙
肋 助
泪 涓泅洇沼
楞 枵
厘 屋
狸 埋
蓠 禽
礼 孔祁扎
李 车孪
俚 埋
哩 理埋
理 悝哩埋
力 宀为
苈 产
利 刊
疠 疒广疴
栗 柔
唳 捩
傈 倮僳
连 沣讧
怜 伶
莨 茛
椋 掠琼棕
粮 稂
冫 宀卜厂彳亻丶匚廾汇冖氵饣忄卫亠讠一于玉辶
谅 惊
晾 琼
辽 辶
疗 疒疔广
钌 订钉钎钰针
埒 捋
捩 唳
猎 暗错
林 杜
吝 各
伶 怜
铃 钤
蛉 岭
岭 蛉
令 企
呤 吟
榴 镏
镏 榴
六 宀卞亡
蝼 嵝
嵝 蝼
瘘 痿
卢 点虍
垆 栌
炉 护
栌 垆
胪 胆盹胛脑胂
鲁 亠
孪 李
娈 妄
卵 卯峁
乱 乩
掠 扩椋琼
抡 伦
伦 抡论佗
沦 论
论 伦沦
倮 傈
荦 卑
络 格
珞 铬恪烙
闾 阁阄阃阔闱闻阎
侣 促侃
捋 埒抨竹
铝 怛担锴稆钼钽饴
稆 怛担铝耜袒相租
律 仲
锊 钉
马 乌
蚂 蚵
吗 呜
埋 悝狸俚哩理
荬 卖
卖 荬
唛 哼暄
邙 邝邛吓
芒 茌芏莶芷茁
忙 恒亡性怔
盲 背肓育
茫 产广冖
卯 卵峁伸
峁 卵卯
么 幺
玫 攻玖玟
枚 杈
眉 固雇国
猸 镅
镅 猸
妹 昧味
昧 妹咪味
袂 抉
门 阿巴刂叨叼而匚冈闳间旧闶闷闽内凵闪尸闩巳闼冂囗问向
扪 们掐
钔 铀
闷 闶门闩
们 倌何扪掐
萌 苘
蜢 艋
艋 蜢
孟 盂
咪 昧味
眯 脒
脒 眯
汨 泊汩旧汕汜
眠 睢昭
棉 植
眄 呵咀胂肿
渑 涓
面 而同
喵 瞄喏咱
苗 亩启茔芸盅自
瞄 喵
眇 盯匚吐旺
玟 坟攻玫
岷 珉
珉 岷
皿 二江三血
闽 闳闶门闩问闲闸
鸣 呜
冥 具
暝 瞑
瞑 暝
馍 镆
末 未
镆 馍
哞 匡哐眶眸
牟 车亘匡
眸 眶哞
母 厂打酊可竹
牡 牲
亩 苗启盅
姆 妲
木 术
沐 沭
钼 钜铝钽
奈 亲
男 畀
南 甫茴苘
喃 哺哜唁
垴 恼
恼 惦垴
脑 胪
闹 画闶闪闩闫
淖 冲悼掉倬
呢 昵
内 门闪
妮 昵
昵 呢妮
拈 坫钻
年 牢宙
鸟 乌
捏 捍
肀 宝电诺偌茔乍专
臬 臭
宁 东宫官户冖一子左
咛 柠聍
柠 咛
聍 咛
泞 沣
牛 萆生
狃 忸钮
忸 川怛忉恒桕狃钮悄扫州
钮 川钿狃忸钽州
侬 浓
浓 侬
疟 疤
诺 诘肀偌
喏 哈咭咀喵喑咱
懦 嚅
讴 怄伛
呕 眍
怄 讴
帕 和怕帜
怕 伯泊佃倌彐帕仨
拍 柏伯扣扫
俳 诽悱
排 徘
徘 悱排
牌 睥
蟠 幡
判 到则
泮 伴拌沣
盼 吩
袢 绊怛担档袒
乓 兵乒
胖 脞胆眭胎
呸 匚
陪 碚
培 踣掊
赔 踣
沛 沣讳洁渖涑涕洼汁
抨 抄抻忡怀计抉括捋评坪让社什忤性押怔
怦 坪
堋 棚
棚 堋栅
捧 唪俸
坯 怀怔
砒 吡础砷
噼 擗
枇 秕
陴 稗啤睥
埤 稗啤
啤 陴埤睥
匹 卟冲匚巨叵巳四厅旺西吓阝
圮 怛纪圯
擗 噼
睥 裨牌陴啤
偏 谝
犏 褊
胼 肌
谝 编偏
片 厂
缥 瞟
嫖 镖
瞟 缥嘌
嘌 瞟
氕 氚氘氙
丿 厂彳丶匚了亠一于予玉丬
品 昌
乒 兵乓
冖 宀疒产厂丶甸夺二匚沣宫官广讧丌究空口牢冫茫宁氵勺声尸守巳它屯亠于玉乍芷宗
评 忡讣讧怀计抨坪让什仕详许汁辶
坪 抨怦评
枰 厂怛杜柜栏杞辶
鲆 鲑鲻
攴 支
钋 讣钆计钊
叵 丶叮盯厄匚风匦厚陉巨匹区巳厅旺卫原竺诅阝
钷 铒钜钽
迫 迪
珀 伯铂彐琅
粕 柏铂
掊 培
扑 朴扎
铺 晡哺
仆 化止州
菩 开一占
脯 哺唁
朴 扑札
圃 圈
浦 涫
溥 博
谱 谙
桤 柜柙相
亓 亍廾升羿元云
齐 弃
祁 邗礼
圻 坑祈析忻
祈 圻袒析忻
脐 哜
畦 蚌鲑
崎 犄
棋 祺
祺 棋
屺 厂川汜
企 令全生余辶
杞 柜枰祀圯枳
启 宝宕店苗亩宇盅自
讫 汔
汔 讫
弃 丌笄亢齐
泣 厂匚巨氵汀位污辶
碛 啧
掐 谄扪们屿
洽 洎洁
恰 袷拾怡
千 干壬丨主
仟 汗讧任仨什往仵许仔怔住
阡 旰开妊旺吁
扦 忏杵杆秆旰歼开衽枉一仔拄柱耔
芊 宝茔宇芋
钎 秆钌钍钰
铅 饴
钤 铃
前 苘
钳 铂坩柑绀钽
凵 凹巴白叨叼二匚归回旧臼口门石闩巳四田冂囗曰
欠 灾
倩 情
枪 伧怆抢
樯 穑
抢 伧怆枪拴
悄 惝恒忸销
桥 挢
憔 僬
巧 厂
愀 楸
俏 倌诮倘俑
诮 俏
峭 蛸硝蛹
鞘 靶鞯
切 川忉
且 尺旦可冉月竹
妾 妄专
怯 怔
亲 奈宇
芩 芥
禽 蓠
嗪 唪
青 喜
清 渍
情 倩请
晴 腈睛
苘 茴萌南前向荫茁
请 情
庆 庄
箐 篝
邛 邙
茕 宜
琼 琮椋晾掠
丘 计止
蚯 虮
楸 愀
囚 回四囗
泅 泪洇
区 匚叵
诎 计讪
蛆 蛤
蛐 怔
朐 胞
圈 圃囤
权 杈衩坟
全 罕企亠
诠 计拴
痊 痤
却 劫
阕 阑
冉 且
让 厂忡沣讣钆汗讧怀环计抨评认氵社什仕详性怔汁住丬辶
娆 晓
扰 忧
人 入
壬 芏缶干千一主
仁 疒伯二广江仨三仵亿止伫
忍 总
荏 存苷
认 让
任 汗仟仨仵许怔住
妊 旰好奸阡旺吁
衽 杆秆扦枉征
扔 担拒仍
仍 扔
日 打古官仨耸曰占只
容 官
嵘 蝾
榕 楮
蝾 嵘
柔 栗
肉 向囟
儒 濡
嚅 懦濡襦
濡 儒嚅
襦 嚅
入 人玉
枘 柄
瑞 揣惴
闰 间闶闩同闫闸
若 苷苦
偌 肀诺
仨 伯二倌彐桕怕仟仁任日三在伫住
洒 泗
撒 撤
三 白二工宫官彐臼皿仁仨右在左
氵 疒厂亻丶订匚广汇灬巨冫冖泣让尸忄巳汜汀亠污讠廴玉辶
扫 桕忸拍
嫂 嗖
铯 艳
穑 樯
砂 炒
莎 茳
晒 哂
山 出巾由
苫 苦
舢 舯
闪 冈闶阃门闹内闩闱闲闫因
讪 抽诃讵诎汕仙浊
汕 凹池汩旧汨讪伸仙浈浊
晌 响饷
上 玉
绱 惝
梢 哨绡
蛸 峭
勺 勹冖匀
邵 邯邰
哨 梢
赊 贻
佘 余
厍 宀匚厅
社 补抻忡怀抨让往忤祆性怔住杼
伸 抻冲卯汕仙仲浊
呻 阿咄呷呵砷胂师帅
绅 绌
砷 础砒呻胂帅
深 洙
什 伴忡讣怀讳计佳抨评仟让仕仵性汁侄住
神 坤
哂 晒
渖 沛
肾 胃
胂 胆胛胪眄呻砷帅睢脏肿
升 犴并旰廾丌开亓吐推羿
生 宀了牛企亡亠学于
声 广冖
牲 牡
尸 巴厂丶匚门冖氵巳亠压辶
失 夫
师 呻帅
诗 持待苷恃特
十 亍个士示丨土
饣 厂丶匚钅冫忄亠讠衤于
石 凵囗右
时 厄肘
拾 挡袷捡恰拴抬
埘 叫
莳 府荮
士 十土
氏 氐
礻 丶忄扌衤
示 亍十
世 忖付供亡
仕 伴讣计佳评让什仵性汁侄住
市 币带单芾
侍 待恃
恃 持诗侍特
室 宜
守 叮盯夺丌冖
书 一
疋 川
枢 抠
丨 卩丰干个击了千十亠丫于玉主
忄 宀亻丶匚廾钅冫氵饣礻扌亠衤状
术 木
戍 戌
沭 沐
帅 廾呻砷胂师睢唯则肿
闩 阿叼匚冈闳间闶门闷闽闹凵闰闪巳冂同囗问闫闸
拴 拌挫挡捡抢诠拾栓押
栓 拴柙
厶 古
巳 巴宀刂厂叨丶叼盯匚厚己旧巨口门匹冖叵凵氵尸闩厅冂吐旺囗亠盱已粤麈辶阝
四 凹回旧匹凵囚囗西
寺 夺
汜 汩河汇旧汨屺氵卫辶
伺 词
祀 怛担杞袒圯祖
泗 洒
耜 耠稆相租祖
嵩 篙
耸 日
悚 惊
嗖 嫂
馊 瞍
瞍 馊
肃 聿
涑 沣沛
僳 傈
眭 产胆咔旷喹胖腆哇眙眨
睢 眶眠胂帅唯雅
濉 潍
损 埙
挲 子
琐 珥项
锁 钡
它 宫官广冖
闼 门
胎 胖眙
邰 邵
抬 拾招
苔 言
跆 眙
呔 吠
谭 潭
潭 谭
坦 怛担钽袒圯租
钽 怛妲担胆铒钜铝钼钮钷钳坦袒祖
袒 徂怛妲担稆袢祈祀坦钽相租祖
唐 康
倘 徜惝俏
讨 付
特 持诗恃峙
梯 悌
扌 礻忄
啼 咔
剃 剌
倜 侗调
涕 沣沛
悌 讳梯
田 凹白彐臼凵囗
恬 忡活括栝怔
甜 蚶
腆 眭
调 倜
跳 铫
帖 蛄岵枯
萜 惦
厅 巴厂丶盯匚厚巨邝匹叵厍巳旺亠吓盱压厌仄麈阝
汀 厂灯仃叮盯订凡泣氵吐旺污盱辶
听 昕
冂 阿巴叼匚口门凵闩巳囗向
同 固间闶匡面闰闩闫
徒 桂
土 工十士止
吐 吖叼叮盯町匚廾眇升巳汀旺唯吁盱叶
钍 钎针
湍 溃
团 困
推 升
屯 刂牢冖芷
囤 圈
饨 吨
氽 汆
佗 伦沱
陀 砣
沱 佗
砣 陀
柝 析
唾 陲
哇 叱吨咔喹眭洼娃
洼 沣诖挂讧讳计佳江沛哇汁
蛙 蚌蛱峙
娃 哇
佤 仉
丸 九
绾 棺
皖 院
汪 汗油住
亡 宀卞锸厂豆栏六忙生世亠性辶
王 缶工
枉 忏杵杜杆秆开扦衽旺征拄柱炷桩
往 仟社怔住
妄 娈妾
旺 叮盯町匚匪肝矸秆旰好豇巨开眇匹叵阡妊巳厅汀吐枉吁盱睚一炷阝
隈 猥喂
囗 凹巴白叨叼匚归回旧臼口门凵囚石闩巳四田冂曰
为 力
围 固国囿
帏 怛
闱 闾闪
唯 吡咄嚯哐旷帅睢吐雉锥
潍 濉
伪 仂
玮 讳
猥 隈
痿 瘘
卫 卜丶汇讵冫叵汜亠
未 末
位 泣住
味 吠妹昧咪
胃 肾胥
谓 渭
喂 隈喁
渭 谓
亠 巴宀卜艹刂产厂彳亻丶丁盯豆匚丐广汇灬己巨可了冫鲁丿冖全氵生尸饣丨忄巳厅亡卫熹压讠俨一于玉甾占之辶阝
文 叉义
闻 闾
问 阿门闽闩阅
肟 匚
幄 幅
乌 车岛马鸟写
邬 郇
污 厂匚丐汇泣氵汀辶
呜 哺吗鸣坞响唣
屋 厘
吴 艮
唔 晤焐
梧 牾焐
仵 沣讧佳仟仁任什仕忤性许住作
迕 许
忤 忭忡讧怀抨社仵性悻许炸怔怍
牾 梧悟
兀 儿
坞 呜
悟 牾
晤 唔焐
焐 唔梧晤
西 匹四
昔 皆
析 桁圻祈柝忻折
唏 咀
淅 湘
熹 亠
洗 冼
喜 青
阋 阄阑阅
禊 楔
虾 虹
瞎 暄
匣 萆厚巨原
狎 押
柙 柽忡桤栓相押棹
瑕 暇
暇 瑕
下 不丁玉
吓 卟匚邝邙匹厅
仙 抻抽佃估何讪汕伸仲住
氙 氚氘氕
祆 社
籼 釉
莶 芒
闲 闭闶闽闪因
冼 洗
蚬 岘
岘 蚬
相 徂怛担柜拒稆桤耜袒柙租祖
湘 淅
详 沣讣讧计评让洋辶
庠 痒
响 晌呜
饷 晌
向 囱茴口门苘肉冂囟自
项 顶琐顼
枵 楞
哓 晓
绡 梢
硝 峭
销 悄
小 于
晓 娆哓
楔 禊
撷 缬
缬 撷
写 乌
泄 池
忻 怛圻祈析沂折
昕 听
锌 梓
囟 囱冈茴肉向自
星 昌
兴 一
幸 单
性 忭忡怀忙抨让社什仕亡仵忤怔仲住
悻 忤
朽 枋
宿 倌
岫 蚰釉
袖 柚
嗅 嗔
戌 成戍
吁 叮盯町旰开阡妊吐旺盱
盱 叮盯町订匚豇巨巳厅汀吐旺吁
胥 胃
顼 项
许 讣汗讧评仟任仵迕忤诈住
糈 精
轩 旰开
宣 亨寅直
揎 揸
喧 暄
暄 哼唛瞎喧煊碹
煊 暄楦碹
楦 椁煊棹植
碹 暄煊
学 宀生
血 皿亚
埙 损
旬 甸讧
郇 邬
荀 苟
峋 岣
讯 汛
汛 讯
丫 个了丨于
压 厂匚尸厅亠
押 拌忡徂担挡钾抨拴狎柙
伢 打钉竹
岈 蚜
蚜 虮岈
睚 哐眶旺
雅 睢
亚 血业
讶 呀
氩 氟
呀 叽讶
咽 咀咱
讠 厂丶冫氵饣亠辶
闫 间闶闹闰闪闩同闸
言 笞官肓苔
岩 岜宕岿
阎 阁阃闾
俨 宀亠
演 潢
厌 匚厅仄
艳 铯
唁 哺嗒馆喃脯狺庾
扬 杨
阳 阻
杨 扬
佯 徉作
徉 佯
洋 详
蛘 蚌
痒 疔庠
怏 忡抉
幺 么
珧 铫
业 亚
叶 吖叮盯肚吐
晔 哔哗
谒 偈渴
一 厂亻丶匚夫干旰乎开冫宁丿菩扦壬书旺亠兴于玉占主住子
衤 丶饣礻忄
揖 楫
仪 仅
圯 怛地珥圹圮杞祀坦
沂 忻
饴 铝铅
怡 恰
宜 车旮宫官宦苴苛茕室旨
贻 赊
